0.638963,0.000157
1.305261,0.001124
1.971511,0.003896
2.637817,0.009565
3.303967,0.015823
3.970158,0.022096
4.034528,0.014460
4.019262,0.503133
4.006564,1.169159
3.993841,1.835370
3.981115,2.501445
3.968338,3.167424
3.955616,3.833690
3.959964,4.019058
3.683417,4.039538
3.017081,4.039442
2.350827,4.036545
1.684721,4.030484
1.018420,4.020893
0.352402,4.010195
0.010417,4.010146
0.003185,3.826432
-0.003964,3.160638
-0.010674,2.494662
-0.017354,1.828559
-0.024074,1.162601
-0.030870,0.496631
-0.035961,-0.008447
